order_id,customer_id,order_status,datetime_order_placed,total_order_price,order_notes
0000000716,5,2021-01-28 13:58:59,139.99,Eum vitae totam commodi dolorem autem.
0000000397,7,2021-11-12 16:42:38,34.99,Atque eligendi earum possimus quis accusantium.
0000000864,8,2021-11-11 11:18:58,19.99,Molestias id temporibus.
0000000822,8,2021-11-05 08:03:44,24.99,Molestias labore harum sunt similique expedita rerum.
0000000419,8,2021-11-01 19:45:18,19.99,Ullam ratione temporibus minima impedit reiciendis.
0000000612,4,2021-03-07 19:50:43,99.99,Aliquid error rem quod dolorum doloribus ex.
0000000542,7,2021-11-11 02:20:32,34.99,Optio in saepe culpa optio quisquam veniam.
0000000355,8,2021-11-10 18:23:16,79.99,Inventore omnis omnis recusandae earum nulla consequuntur quos.
0000000516,8,2021-11-13 13:14:30,99.99,Doloremque sunt quaerat ad molestiae iure.
0000000829,8,2021-11-05 03:50:32,29.99,Minima dolorem iure eius cumque nisi deserunt.
0000000787,7,2021-11-05 12:24:59,79.99,Quos molestiae impedit ab delectus quaerat.
0000000639,4,2021-02-07 00:54:33,19.99,Ipsum velit cumque magnam quo velit dolor.
0000000335,7,2021-11-08 22:32:24,19.99,Illum error architecto provident.
0000000820,7,2021-11-12 19:48:48,59.97,Nam corporis consequuntur.
0000000794,3,2021-10-23 18:11:19,599.97,Minus cumque et sint corporis veniam voluptatum.
0000000127,8,2021-11-05 11:58:07,159.98,Quae corporis quibusdam maiores voluptas.
0000000959,8,2021-11-11 08:06:19,159.98,Mollitia ut optio deserunt repudiandae ipsam.
0000000751,2,2021-01-26 14:00:53,199.99,Numquam ex incidunt quibusdam ea ad.
0000000780,8,2021-11-12 12:21:13,79.99,Laborum facilis non odit.
0000000150,7,2021-11-11 04:36:36,159.98,Velit a veniam iusto provident ratione.
0000000807,1,2021-08-18 05:54:33,19.99,Nostrum non eaque eos repellat.
0000000468,7,2021-11-02 17:57:35,99.99,Nesciunt molestiae beatae dignissimos minus optio.
0000000026,8,2021-11-11 17:49:13,34.99,Quo magni fugit dignissimos consequuntur magnam dolores temporibus.
0000000801,1,2021-04-22 21:34:05,49.99,Cumque dicta itaque officiis sint doloribus debitis.
0000000369,8,2021-11-04 13:05:28,159.98,Eaque facilis hic quod fugiat ducimus.
0000000479,8,2021-11-10 12:33:21,129.99,Accusantium itaque reiciendis enim explicabo.
0000000261,8,2021-11-07 07:42:05,19.99,Cum hic commodi voluptatibus in dicta neque.
0000000792,3,2021-04-14 00:19:40,29.99,Neque vero minima perspiciatis assumenda.
0000000008,1,2021-08-22 20:25:26,19.99,Recusandae ratione reiciendis atque.
0000000398,5,2021-02-16 00:23:20,39.99,Eum numquam corrupti corporis.
0000000657,8,2021-11-11 03:02:25,16.99,Dolorum rerum suscipit quisquam alias.
0000000088,7,2021-11-11 07:18:21,99.99,Corrupti soluta quia molestias voluptatum totam id eaque.
0000000160,1,2021-10-15 16:28:29,139.99,Nihil saepe odit tempora non.
0000000708,6,2021-06-23 09:26:10,39.99,Necessitatibus iure nesciunt illum.
0000000589,2,2021-02-23 06:09:01,79.99,Hic totam alias nisi unde corrupti.
0000000990,1,2021-09-04 21:23:57,34.99,Praesentium non voluptatibus perspiciatis id earum.
0000000579,5,2021-03-17 07:58:32,33.98,Cum nemo incidunt maxime numquam voluptate voluptas.
0000000103,8,2021-11-07 14:09:42,34.99,Magnam repudiandae culpa consequatur deserunt iure beatae.
0000000979,6,2021-05-11 08:42:15,59.99,Nisi aperiam accusamus molestiae architecto debitis.
0000000697,3,2021-06-03 22:04:08,99.99,Deserunt possimus excepturi magnam.
0000000255,6,2021-05-25 10:28:27,79.99,Suscipit accusantium itaque officiis accusantium.
0000000504,8,2021-11-13 12:25:23,79.99,Ipsum ipsum accusantium magni pariatur tempore harum.
0000000331,8,2021-11-06 08:16:18,79.99,Amet dolor ipsa minima aliquam.
0000000647,6,2021-04-14 02:48:30,59.99,Eius commodi enim deleniti.
0000000242,8,2021-11-13 14:12:17,79.99,Sed hic blanditiis quibusdam.
0000000822,6,2021-09-20 14:10:03,59.99,Cumque autem excepturi magni et.
0000000149,7,2021-11-09 13:08:10,24.99,Magnam excepturi facere reiciendis.
0000000658,7,2021-11-08 12:27:40,59.98,Esse saepe natus a natus impedit.
0000000600,2,2021-08-23 21:29:07,99.99,Vero dolorem atque voluptate at.
0000000965,3,2021-01-12 20:46:44,139.99,Corrupti rem mollitia maxime.
0000000092,2,2021-03-13 14:49:01,50.97,Velit asperiores iusto pariatur autem quam.
0000000006,8,2021-11-03 08:47:03,67.96,Reprehenderit voluptate explicabo ea.
0000000290,4,2021-05-01 00:47:36,79.99,Beatae harum praesentium itaque repellendus.
0000000609,1,2021-08-07 14:08:34,50.97,Officiis aliquid aliquam eos neque incidunt eligendi.
0000000201,8,2021-11-08 12:43:23,139.99,Culpa occaecati ipsum earum qui tempore.
0000000732,8,2021-11-14 00:45:15,59.99,Tempora natus ducimus reprehenderit asperiores quod.
0000000053,5,2021-10-25 16:18:29,29.99,Officia alias provident.
0000000226,6,2021-03-06 13:59:04,24.99,Fuga qui dolor odio debitis.
0000000829,2,2021-06-17 14:39:06,79.99,Ad perferendis ut autem voluptas magni sapiente.
0000000044,7,2021-11-03 13:24:23,139.99,Temporibus placeat expedita voluptas.
0000000941,4,2021-08-06 11:35:52,59.99,Aperiam maxime temporibus numquam.
0000000081,6,2021-01-09 15:00:05,99.98,Voluptatum incidunt quam sapiente sequi.
0000000878,1,2021-04-18 22:43:45,34.99,Id minus aliquam sint ipsum quae odio.
0000000030,7,2021-11-01 18:10:41,29.99,Eveniet dolorum aut harum ipsam id.
0000000367,6,2021-09-10 17:53:24,74.97,Nemo corporis atque officiis voluptates animi.
0000000597,3,2021-05-08 18:32:49,34.99,Nobis culpa saepe nisi quaerat veniam illum.
0000000174,6,2021-01-08 22:51:28,24.99,Necessitatibus enim eius adipisci sequi possimus neque.
